Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,argument_public,argument_referent,be_developed,be_instanciated,description_module_reference,family,file_module_reference,id,module_reference,number_link,summary,type
40,Note,Default,1,,,,,,,"In what sense is this a safety argument? We do not seem to address safety risks and hazards? It looks more like a correctness or performance argument!

What are the clinical 'hazards' to which this technology might lead?

What is the nature of the relationship between the machine and the human? Advisory, probably not! Any responsibility gaps?",,,,,,,,,,,,,
41,Imported Shape,,1,,,,,,,Training data,"Network was trained with OCT scans acquired from two different devices Topcon 3D OCT, Topcon and Spectralis, Heilderberg Engineering",true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
42,Note,Default,1,,,,,,,"Are the data representative enough? Semantic gap (making claims on the relevance of references used for training, test and validation data sets) is reduced? Data set is sufficient for the functionality (deduction gap reduced)?",,,,,,,,,,,,,
43,Imported Shape,,1,,,,,,,Non-ambiguous regions,Tissue-segmentation map obtained by network is equal to manual segmentation map done by clinician ,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
44,Imported Shape,,1,,,,,,,"Tissue-segmentation Visualisation
",Clinicians can visualise the outcome and understand the process rather being simply presented with a diagnosis and referral suggestions ,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
45,Imported Shape,,1,,,,,,,Ambiguous regions,The ambiguous regions in OCT images are addressed by training multiple instances of the network,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
46,Imported Shape,,1,,,,,,,Ambigous regions evidence,Multiple segmentation hypotheses displayed as a video (Supplementary videos 1-9),true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
47,Cloud,Geometric Shapes,1,,,,,,,Safety,,,,,,,,,,,,,
48,Cloud,Geometric Shapes,1,,,,,,,Performance,,,,,,,,,,,,,
49,Right Arrow,Geometric Shapes,1,,,,,,,?,,,,,,,,,,,,,
50,Note,Default,1,,,,,,,"Is the system advisory only?

If so, then the human should be able to fully interpret the process

Segmentation is but not diagnosis ",,,,,,,,,,,,,
51,Rectangle,Geometric Shapes,1,,,,,,,Diagnose ,,,,,,,,,,,,,
52,Right Arrow,Geometric Shapes,1,,,,,,,"Omission, Commission, timing and incorrect ",,,,,,,,,,,,,
53,Actor,UML,1,,,,,,,x - y,,,,,,,,,,,,,
54,Imported Shape,,1,,,,,,,Outcome interpretability,The tissue-segmentation map is readily viewable by a clinician ,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
55,Imported Shape,,1,,,,,,,Segmentation Strategy,Argument over ambiguous and non-ambiguous regions,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
56,Decision,Flowchart Shapes,1,,,,,,,,,,,,,,,,,,,,
57,Note,Default,1,,,,,,,"Draft Paper  Outline

Introduction
Review of Safety of AI in Healthcare
Safety Considerations: basically AI tech in clinical context, importance of safety case, i.e. clarity and transparency (including the need for dynamic assessment)
Use Case
Discussion
Conclusions

",,,,,,,,,,,,,
58,User Image,User Images,1,,,,,,,,,,,,,,,,,,,,
59,Text,Default,1,,,,,,,ASSURANCE CASE FOR A MACHINE LEARNING SYSTEM GIVING CLINICAL DIAGNOSIS ,,,,,,,,,,,,,
60,Text,Default,1,,,,,,,"AGENDA

1) CASE STUDY
2) ASSURANCE CASE
3) QUESTIONS

",,,,,,,,,,,,,
61,Imported Shape,,1,,,,,,,Safe?,"
Possible answers: 
(1) correct diagnosis (with what confidence interval?)
(2) complied with MD regulations (e.g. Class 2)
(3) at least as good as the ""best"" human experts (but is this enough? Is it the same risk profile? are we more forgiving with fellow humans?)
(4) Clinical benefits outweight system risks? 
...",true,,true,true,,context,,HIT ,,,HIT Specifications ,2
62,Imported Shape,,1,,,,,,,Ambiguous low-quality regions,"The different maps, as human experts, agree in areas where image is clear but may contain different (but plausible) interpretations in ambiguous low-quality regions",true,,true,true,,context,,HIT ,,,HIT Specifications ,2
63,Text,Default,1,,,,,,,,,,,,,,,,,,,,
64,Imported Shape,,1,,,,,,,Timeline,Experts had 2 sessions at least two weeks in time: referral with only OCT scans and referral with OCT scans plus fundus images and clinical notes,true,,true,true,,context,,Clinical Risk Matrix ,,,Clinical Risk Matrix ,2
65,Imported Shape,,1,,,,,,,Performance + clinical info,With additional information expert performance improved but the network remained as good as the best 5 experts and outperformed the other 3.,true,,true,true,,goal,,Clinical Benefits ,,,Overriding clinical benefits outweigh the residual clinical risk and further control is not practicable ,1
66,Imported Shape,,1,,,,,,,Classification performance evidence,Figure 3 in the paper,true,,true,true,,solution,,HL 2 ,,,Hazard Log (unacceptable clinical risks) ,1
67,Imported Shape,,1,,,,,,,Gold standard,Data obtained by examining clinical records to determine the final diagnosis and optimal referral pathway. Such a gold standard can only be obtained retrospectively.,true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
68,Line,,1,,,7,8,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
69,Line,,1,,,7,9,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
70,Line,,1,,,7,10,None,Arrow,,,,,,,,solved_by,,,,1,,3
71,Line,,1,,,10,6,None,Arrow,,,,,,,,solved_by,,,,1,,3
72,Line,,1,,,6,18,None,Arrow,,,,,,,,solved_by,,,,1,,3
73,Line,,1,,,16,16,None,Arrow,,,,,,,,solved_by,,,,1,,3
74,Line,,1,,,6,11,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
75,Line,,1,,,6,20,None,Hollow Arrow,,,,,,,,,,,,,,
76,Line,,1,,,10,25,None,Arrow,,,,,,,,,,,,,,
77,Line,,1,,,25,26,None,Arrow,,,,,,,,,,,,,,
78,Line,,1,,,26,19,None,Arrow,,,,,,,,,,,,,,
79,Line,,1,,,25,27,None,Arrow,,,,,,,,,,,,,,
80,Line,,1,,,19,29,None,Arrow,,,,,,,,,,,,,,
81,Line,,1,,,29,31,None,Arrow,,,,,,,,,,,,,,
82,Line,,1,,,31,32,None,Arrow,,,,,,,,,,,,,,
83,Line,,1,,,32,29,None,Arrow,,,,,,,,,,,,,,
84,Line,,1,,,19,42,None,Arrow,,,,,,,,,,,,,,
85,Line,,1,,,20,42,None,Arrow,,,,,,,,,,,,,,
86,Line,,1,,,33,34,None,Arrow,Transition ,,,,,,,,,,,,,
87,Line,,1,,,25,38,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
88,Line,,1,,,25,24,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
89,Line,,1,,,25,37,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
90,Line,,1,,,26,41,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
91,Line,,1,,,55,43,None,Arrow,,,,,,,,,,,,,,
92,Line,,1,,,43,28,None,Arrow,,,,,,,,,,,,,,
93,Line,,1,,,54,44,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
94,Line,,1,,,27,55,None,Arrow,,,,,,,,,,,,,,
95,Line,,1,,,45,46,None,Arrow,,,,,,,,,,,,,,
96,Line,,1,,,25,54,None,Arrow,,,,,,,,,,,,,,
97,Line,,1,,,55,45,None,Arrow,,,,,,,,,,,,,,
98,Line,,1,,,45,62,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
99,Line,,1,,,18,21,None,Arrow,,,,,,,,solved_by,,,,1,,3
100,Line,,1,,,6,64,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
101,Line,,1,,,6,65,None,Arrow,,,,,,,,solved_by,,,,1,,3
102,Line,,1,,,65,66,None,Arrow,,,,,,,,solved_by,,,,1,,3
103,Line,,1,,,6,67,None,Hollow Arrow,,,,,,,,,,,,,,
104,Line,,1,,,17,,Hollow Arrow,None,,,,,,,,,,,,,,
105,Page,,,,,,,,,Without Dynamic and notes,,,,,,,,,,,,,
106,Imported Shape,,105,,,,,,,Classification Network Claim,Classification network achieves or exceeds expert performance with tissue segmentation maps as input,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
107,Imported Shape,,105,,,,,,,ML Assurance Claim,Automated Retinal Diagnosis provides the correct diagnosis in the defined clinical setting ,true,,true,true,,goal,,HIT Safety ,,,Health IT is safe to use in the defined care setting ,1
108,Imported Shape,,105,,,,,,,Automated Retinal Diagnosis,A deep learning architecture comprising 2 different Neural Networks: segmentation & classification,true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
109,Imported Shape,,105,,,,,,,Assurance Strategy,Argument over sufficiency of both networks and transition between them,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
110,Imported Shape,,105,,,,,,,Experts Profiles,"4 retina specialists with 21, 21, 13 and 12 years of experience and 4 optometrists with 15, 9, 6 and 3 years of experience ",true,,true,true,,context,,Clinical Risk Matrix ,,,Clinical Risk Matrix ,2
111,Imported Shape,,105,,,,,,,Performance ,"Using only OCT scans, network performance matched the 2 best retina specialists and outperformed all other experts",true,,true,true,,goal,,Clinical Benefits ,,,Overriding clinical benefits outweigh the residual clinical risk and further control is not practicable ,1
112,Imported Shape,,105,,,,,,,Device Independence evidence,"Performance Results 
(Table 1)",true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
113,Imported Shape,,105,,,,,,,Training Data,14884 scans for 7621 patients who were referred with macular pathology symptoms,true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
114,Imported Shape,,105,,,,,,,Segmentation Network Claim,Segmentation network creates a detailed device-independent and human interpretable tissue-segmentation map,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
115,Imported Shape,,105,,,,,,,Device Independence,The segmentation network achieves classification network  device independence,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
116,Imported Shape,,105,,,,,,,Outcome Performance,The tissue-segmentation map is at least as good as human clinicians,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
117,Imported Shape,,105,,,,,,,Automated Segmentation  Evidence,"Results of Segmentation Network 
(Figure 2 and Supplementary Figure 13)",true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
118,Imported Shape,,105,,,,,,,Segmentation Network ,A 3-dimensional U-Net architecture to translate raw OCT scan into a tissue-segmentation map ,true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
119,Imported Shape,,105,,,,,,,"Tissue-segmentation Map 
",Used for identifying clinical features in scans for diagnosis,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
120,Imported Shape,,105,,,,,,,Device Independence Training Data,Scans  from two different devices Topcon 3D  (877) and Spectralis (152),true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
121,Imported Shape,,105,,,,,,,Non-ambiguous Regions,Tissue-segmentation map obtained by network is comparable to manual segmentation map done by clinician ,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
122,Imported Shape,,105,,,,,,,"Segmentation Visualisation
",Clinicians can visualise segmentation outcome & understand the process rather being simply presented with a diagnosis and referral suggestions ,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
123,Imported Shape,,105,,,,,,,Ambiguous Regions,The ambiguous regions in OCT scans are addressed by training multiple instances of the network,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
124,Imported Shape,,105,,,,,,,Ambigous Regions Evidence,Video displaying multiple segmentation hypotheses (Supplementary videos 1-9),true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
125,Imported Shape,,105,,,,,,,Outcome Interpretability,"The tissue-segmentation map is readily viewable by a clinician 
",true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
126,Imported Shape,,105,,,,,,,Segmentation Strategy,Argument over ambiguous and non-ambiguous regions,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
127,Decision,Flowchart Shapes,105,,,,,,,,,,,,,,,,,,,,
128,Imported Shape,,105,,,,,,,Ambiguous Low-quality Regions,"Different maps, similar to human experts, agree in areas where image is clear but may contain different (but plausible) interpretations in ambiguous low-quality regions",true,,true,true,,context,,HIT ,,,HIT Specifications ,2
129,Imported Shape,,105,,,,,,,Timeline,Experts had 2 sessions with a two week gap: (1) referral with only scans; (2) referral with scans plus fundus images & clinical notes,true,,true,true,,context,,Clinical Risk Matrix ,,,Clinical Risk Matrix ,2
130,Imported Shape,,105,,,,,,,Performance + Clinical Info,With additional information expert performance improved but the network remained as good as the best 5 experts and outperformed the other 3.,true,,true,true,,goal,,Clinical Benefits ,,,Overriding clinical benefits outweigh the residual clinical risk and further control is not practicable ,1
131,Imported Shape,,105,,,,,,,Classification Performance Evidence,Results on Patient Referral Decisions (Figure 3),true,,true,true,,solution,,HL 2 ,,,Hazard Log (unacceptable clinical risks) ,1
132,Imported Shape,,105,,,,,,,Gold Standard,Gold standard obtained by examining clinical records to determine the final diagnosis and optimal referral pathway,true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
133,Imported Shape,,105,,,,,,,Training Device Strategy,Argument by training segmentation network on scans from 2 different devices,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
134,Imported Shape,,105,,,,,,,Device Independence Results,An Area Under ROC Curve (AUC) of 99.21 and 99.93 is achieved respectively for the 1st and the 2nd device considering urgent referral,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
135,Imported Shape,,105,,,,,,,Clinical Setting,"Triage in an ophthalmology referral pathway at Moorfields Eye Hospital, with more than 50 common diagnoses",true,,true,true,,context,,HIT ,,,HIT Specifications ,2
136,Imported Shape,,105,,,,,,,Test Data,997 included in the gold standard (not included in training dataset ),true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
137,Imported Shape,,105,,,,,,,"Clinical Impact Weighting
","By weighted different types of diagnostic errors, performance was not achieved at cost of missing clinically important sight-threatening diagnoses",true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
138,Imported Shape,,105,,,,,,,Device Independence Test Data,Scans from two different devices Topcon 3D  (224) and Spectralis (116),true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
139,Imported Shape,,105,,,,,,,Device Independence ,"Ability to build a tissue segmentation map independent  from the OCT scan device, making the classification network device independent",true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
140,Line,,105,,,107,135,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
141,Line,,105,,,107,108,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
142,Line,,105,,,107,109,None,Arrow,,,,,,,,solved_by,,,,1,,3
143,Line,,105,,,109,106,None,Arrow,,,,,,,,solved_by,,,,1,,3
144,Line,,105,,,106,111,None,Arrow,,,,,,,,solved_by,,,,1,,3
145,Line,,105,,,106,110,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
146,Line,,105,,,106,113,None,Hollow Arrow,,,,,,,,,,,,,,
147,Line,,105,,,109,114,None,Arrow,,,,,,,,,,,,,,
148,Line,,105,,,114,115,None,Arrow,,,,,,,,,,,,,,
149,Line,,105,,,114,116,None,Arrow,,,,,,,,,,,,,,
150,Line,,105,,,114,119,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
151,Line,,105,,,114,118,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
152,Line,,105,,,126,121,None,Arrow,,,,,,,,,,,,,,
153,Line,,105,,,121,117,None,Arrow,,,,,,,,,,,,,,
154,Line,,105,,,125,122,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
155,Line,,105,,,116,126,None,Arrow,,,,,,,,,,,,,,
156,Line,,105,,,123,124,None,Arrow,,,,,,,,,,,,,,
157,Line,,105,,,114,125,None,Arrow,,,,,,,,,,,,,,
158,Line,,105,,,126,123,None,Arrow,,,,,,,,,,,,,,
159,Line,,105,,,123,128,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
160,Line,,105,,,106,129,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
161,Line,,105,,,106,130,None,Arrow,,,,,,,,solved_by,,,,1,,3
162,Line,,105,,,130,131,None,Arrow,,,,,,,,solved_by,,,,1,,3
163,Line,,105,,,106,132,None,Hollow Arrow,,,,,,,,,,,,,,
164,Line,,105,,,133,134,None,Arrow,,,,,,,,,,,,,,
165,Line,,105,,,115,133,None,Arrow,,,,,,,,,,,,,,
166,Line,,105,,,134,112,None,Arrow,,,,,,,,,,,,,,
167,Line,,105,,,133,120,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
168,Line,,105,,,106,136,None,Hollow Arrow,,,,,,,,,,,,,,
169,Line,,105,,,111,131,None,Arrow,,,,,,,,solved_by,,,,1,,3
170,Line,,105,,,106,137,None,Hollow Arrow,,,,,,,,,,,,,,
171,Line,,105,,,133,138,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
172,Line,,105,,,115,139,None,Hollow Arrow,,,,,,,,in_context_of,,,,1,,5
173,Page,,,,,,,,,With 3 branches,,,,,,,,,,,,,
174,Imported Shape,,173,,,,,,,Classification Network Claim,Classification network achieves or exceeds expert performance with tissue segmentation maps as input,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
175,Imported Shape,,173,,,,,,,ML Assurance Claim,Automated Retinal Diagnosis provides the correct diagnosis and referral in the defined clinical setting ,true,,true,true,,goal,,HIT Safety ,,,Health IT is safe to use in the defined care setting ,1
176,Imported Shape,,173,,,,,,,Automated Retinal Diagnosis,A deep learning architecture comprising 2 different Neural Networks: segmentation & classification,true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
177,Imported Shape,,173,,,,,,,Assurance Strategy,Argument over sufficiency of both networks and transition between them,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
178,Imported Shape,,173,,,,,,,Experts Profiles,"4 retina specialists with 21, 21, 13 and 12 years of experience and 4 optometrists with 15, 9, 6 and 3 years of experience ",true,,true,true,,context,,Clinical Risk Matrix ,,,Clinical Risk Matrix ,2
179,Imported Shape,,173,,,,,,,Performance ,"Using only OCT scans, network performance matched the 2 best retina specialists and outperformed all other experts",true,,true,true,,goal,,Clinical Benefits ,,,Overriding clinical benefits outweigh the residual clinical risk and further control is not practicable ,1
180,Imported Shape,,173,,,,,,,Training Data,14884 scans for 7621 patients who were referred with macular pathology symptoms,true,,true,true,,context,,Unacceptable Risk Levels ,,,Hazards associated with unacceptable levels of clinical risk ,2
181,Imported Shape,,173,,,,,,,Segmentation Network Claim,Segmentation network creates detailed human interpretable tissue-segmentation maps,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
182,Imported Shape,,173,,,,,,,Outcome Performance,The tissue-segmentation map is at least as good as manual segmentation ,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
183,Imported Shape,,173,,,,,,,Segmentation Network ,3-dimensional U-Net architecture to translate raw OCT scan into a tissue-segmentation map ,true,,true,true,,context,,Care Setting ,,,Care Setting Description ,2
184,Imported Shape,,173,,,,,,,"Tissue-segmentation Map 
",Used for identifying clinical features in scans for diagnosis,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
185,Imported Shape,,173,,,,,,,Unambiguous Regions,Tissue-segmentation map obtained by network is consistent with manual segmentation map,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
186,Imported Shape,,173,,,,,,,"Segmentation Visualisation
",Clinicians can visualise segmentation outcome & understand the process rather being simply presented with a diagnosis and referral suggestions ,true,,true,true,,context,,HIT ,,,HIT Specifications ,2
187,Imported Shape,,173,,,,,,,Ambiguous Regions,The ambiguous regions in OCT scans are addressed by training multiple instances of the network,true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
188,Imported Shape,,173,,,,,,,Ambigous Regions Evidence,Video displaying multiple segmentation hypotheses (Supplementary videos 1-9),true,,true,true,,solution,,HL 1 ,,,Hazard Log (acceptable clinical risks) ,1
189,Imported Shape,,173,,,,,,,Outcome Interpretability,"The tissue-segmentation map is readily viewable by a clinician 
",true,,true,true,,goal,,Residual Risks ,,,Residual clinical risks from all identified hazards are accepted and managed ,1
190,Imported Shape,,173,,,,,,,Segmentation Strategy,Argument over ambiguous and unambiguous regions,,,true,true,,strategy,,Risk Strategy ,,,Argument based on HIT clinical risks ,1
191,Decision,Flowchart Shapes,173,,,,,,,,,,,,,,,,,,,,
192,Imported Shape,,173,,,,,,,Ambiguous Low-quality Regions,"Different maps, similar to human experts, agree in areas where image is clear but may contain different (but plausible) interpretations in ambiguous low-quality regions",true,,true,true,,context,,HIT ,,,HIT Specifications ,2
193,Imported Shape,,173,,,,,,,Timeline,Experts had 2 sessions with a two week gap: (1) referral with only scans; (2) referral with scans plus fundus images & clinical notes,true,,true,true,,context,,Clinical Risk Matrix ,,,Clinical Risk Matrix ,2
